No.,No1,No2,No3,No4,No5,No6,No7,No8,No9,No10,No11,No12,No13,No14,No15,No16,No17,No18,No19,No20,No21,No22
order,1,2,5,7,8,9,10,11,3,12,13,14,15,16,17,18,19,4,6,20,21,22
sa,Nanjing_0219,Changzhou_0728,Zhengzhou_0802,Kunshan_0524,Changsha_0801,Ningguo_0217,Xi'an_0217,Zibo_0502,Changzhou_0712,Chongqing_0715,Shanghai_0411,Macau_0524,Hangzhou_0219,Tianjin_0715,Lijiang_0722,Lanzhou_0822,Beijing_0620,Changzhou_0220,Zhengzhou_0219,Jinan_0219,Guangzhou_0220,Nanchang_0210
Mycobacterium,2.32E-01,1.94E-01,1.93E-03,1.07E-03,1.24E-02,1.34E-02,1.15E-02,1.46E-02,1.52E-02,1.10E-02,1.54E-02,4.89E-03,3.45E-05,9.09E-03,8.80E-03,8.11E-03,1.10E-02,5.12E-03,8.11E-03,8.66E-03,2.70E-04,2.14E-04
Acinetobacter,5.63E-03,5.49E-03,8.34E-02,8.96E-02,4.36E-02,1.27E-02,1.80E-02,2.66E-04,3.63E-03,2.77E-04,1.84E-04,1.34E-02,2.73E-02,3.68E-03,6.74E-04,1.42E-04,2.22E-03,1.87E-04,2.38E-03,7.58E-04,1.57E-03,1.69E-04
Brevundimonas,1.10E-02,6.16E-04,2.28E-03,2.81E-03,1.28E-02,1.10E-02,8.24E-03,1.29E-02,1.08E-02,1.23E-02,1.12E-02,4.79E-03,0,6.02E-03,1.03E-02,6.80E-03,2.17E-03,1.87E-04,3.06E-03,4.50E-03,8.99E-04,0
Legionella,3.48E-03,3.13E-04,1.32E-02,7.49E-04,6.01E-03,3.75E-03,1.63E-03,1.09E-02,5.34E-03,7.29E-03,2.59E-03,4.31E-03,5.18E-05,7.56E-03,6.39E-03,4.61E-03,7.09E-04,1.25E-02,2.37E-03,1.23E-03,4.23E-03,1.81E-03
Escherichia,0,6.12E-03,5.51E-04,0,0,0,0,0,3.41E-04,2.08E-04,0,1.25E-04,0,0,0,0,5.06E-03,0,1.26E-04,2.37E-04,0,0
Leptospira,0,5.21E-04,3.94E-04,0.0000144,0,3.89E-04,2.66E-04,0,0,1.15E-04,3.23E-04,0,0,4.08E-04,0.0000786,1.79E-03,0,0,0,1.89E-04,0,0
Salmonella,0,0,3.94E-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aeromonas,0,1.80E-04,8.67E-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacillus,0,0,0,0,0,0,0,1.59E-04,2.27E-04,0,0,0,0,0,0.0000562,0,0,0,0,0,0,0
